transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,email,phone,payment_status,net_sales,month
1,642,Troy Mitchell,108,15000.0,Mixer Grinder,Home Appliances,offline,Bangalore,2025-12-06,3,UPI,0.1,Tro*****@gmail.com,83******68,successful,44999.9,2025-12
2,881,Sarah Guerrero,102,70000.0,Phone,Elec,online,Bangalore,2025-07-21,5,Card,0.35,Sar*****@yahoo.com,71******11,successful,349999.65,2025-07
3,505,Samantha Hull,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-07-11,2,UPI,0.05,Sam*****@outlook.com,74******65,successful,129999.95,2025-07
4,794,Gerald Cooper,106,80000.0,Sofa,Furn,offline,Chennai,2025-10-06,2,UPI,0.05,Ger*****@gmail.com,97******01,successful,159999.95,2025-10
5,864,Cameron Black,108,15000.0,Mixer Grinder,Home Appliances,offline,Chennai,2025-12-12,1,Cash,0.05,Cam*****@yahoo.com,99******77,successful,14999.95,2025-12
6,181,Maria Robinson,101,250000.0,Laptop,Electronics,online,Delhi,2025-07-25,5,NetBanking,0.35,Mar*****@gmail.com,87******17,successful,1249999.65,2025-07
7,142,Charles Brown,101,250000.0,Laptop,Elec,online,Hyderabad,2026-03-03,2,UPI,0.05,Cha*****@gmail.com,99******22,successful,499999.95,2026-03
9,749,Linda Lara,110,,Microwave,Home Appliances,offline,Mumbai,2025-08-30,3,Card,0.3,Lin*****@outlook.com,74******01,successful,,2025-08
10,146,Jose Thomas,102,70000.0,Phone,Electronics,offline,Bangalore,2025-12-16,2,UPI,0.4,Jos*****@outlook.com,83******63,successful,139999.6,2025-12
11,946,Lisa Cochran,104,8000.0,Shoes,Cloth,offline,Delhi,2025-12-15,4,Card,0.3,Lis*****@gmail.com,83******19,successful,31999.7,2025-12
13,838,Susan Torres,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-06-14,5,Cash,0.35,Sus*****@outlook.com,87******26,successful,324999.65,2025-06
14,117,Brent Clark,109,65000.0,Refrigerator,Home Appliances,offline,Delhi,2026-02-24,5,Card,0.2,Bre*****@gmail.com,90******98,successful,324999.8,2026-02
15,923,George Wilkinson,109,65000.0,Refrigerator,Home Appliances,online,Mumbai,2026-01-31,5,UPI,0.25,Geo*****@gmail.com,65******22,successful,324999.75,2026-01
17,570,Donald Carter,102,,Phone,Elec,offline,Chennai,2025-05-19,3,NetBanking,0.15,Don*****@gmail.com,79******19,successful,,2025-05
19,786,Jeremiah Simmons,103,,Shirt,Clothing,offline,Chennai,2025-09-07,4,Cash,0.2,Jer*****@outlook.com,71******16,successful,,2025-09
20,576,Angela Weiss,104,8000.0,Shoes,Clothing,online,Delhi,2025-07-05,1,Card,0.15,Ang*****@yahoo.com,64******39,successful,7999.85,2025-07
21,256,Nicole Williams,109,65000.0,Refrigerator,Home Appliances,online,Chennai,2025-12-10,3,UPI,0.05,Nic*****@gmail.com,92******32,successful,194999.95,2025-12
22,737,Kimberly Lloyd,109,65000.0,Refrigerator,Home Appliances,online,Delhi,2025-03-11,4,UPI,0.4,Kim*****@gmail.com,60******93,successful,259999.6,2025-03
23,104,Amanda Castillo,108,,Mixer Grinder,Home Appliances,online,Hyderabad,2026-04-15,2,UPI,0.25,Ama*****@yahoo.com,92******48,successful,,2026-04
24,799,Stephanie Dunn,108,15000.0,Mixer Grinder,Home Appliances,offline,Delhi,2025-05-16,3,Cash,0.25,Ste*****@gmail.com,74******44,successful,44999.75,2025-05
25,249,Alyssa Henderson,102,70000.0,Phone,Electronics,online,Bangalore,2025-08-29,1,Card,0.3,Aly*****@gmail.com,99******09,successful,69999.7,2025-08
27,927,Bradley Sparks,105,45000.0,Tv,Electronics,offline,Chennai,2025-11-13,5,UPI,0.2,Bra*****@gmail.com,82******14,successful,224999.8,2025-11
28,868,Timothy Henderson,107,50000.0,Dining Table,Furniture,offline,Hyderabad,2025-11-12,1,Card,0.3,Tim*****@gmail.com,65******86,successful,49999.7,2025-11
29,1,Karen Pollard,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2025-06-28,2,Card,0.3,Kar*****@yahoo.com,71******63,successful,129999.7,2025-06
30,980,Alexis Andrews,106,80000.0,Sofa,Furniture,online,Delhi,2025-07-10,5,Card,0.05,Ale*****@gmail.com,96******41,successful,399999.95,2025-07
31,455,Morgan Wright,107,50000.0,Dining Table,Furniture,offline,Bangalore,2025-06-03,4,NetBanking,0.3,Mor*****@yahoo.com,98******87,successful,199999.7,2025-06
32,367,Joshua Tate,105,45000.0,Tv,Electronics,offline,Delhi,2025-11-14,4,Cash,0.4,Jos*****@outlook.com,98******16,successful,179999.6,2025-11
34,968,Keith Davis,107,50000.0,Dining Table,Furn,offline,Hyderabad,2025-11-09,4,Cash,0.15,Kei*****@yahoo.com,63******12,successful,199999.85,2025-11
35,390,Erika Knight,110,45000.0,Microwave,Home,online,Mumbai,2025-05-25,2,Card,0.1,Eri*****@gmail.com,88******25,successful,89999.9,2025-05
36,528,Kerri Rodriguez,102,70000.0,Phone,Electronics,offline,Chennai,2025-07-19,2,NetBanking,0.1,Ker*****@gmail.com,77******93,successful,139999.9,2025-07
37,46,Mallory Boyd,103,1300.0,Shirt,Clothing,offline,Delhi,2026-01-07,3,UPI,0.1,Mal*****@gmail.com,69******49,successful,3899.9,2026-01
39,234,Kristin Taylor,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-01,1,Cash,0.1,Kri*****@outlook.com,61******10,successful,7999.9,2025-12
40,391,Catherine Beard,103,1300.0,Shirt,Cloth,offline,Mumbai,2026-08-03,2,NetBanking,0.3,Cat*****@gmail.com,92******05,successful,2599.7,2026-08
41,743,Dorothy Davis,103,1300.0,Shirt,Cloth,online,Delhi,2025-12-22,3,NetBanking,0.1,Dor*****@yahoo.com,84******00,successful,3899.9,2025-12
42,17,Duane Hall,105,45000.0,Tv,Electronics,online,Bangalore,2025-07-11,2,Cash,0.3,Dua*****@outlook.com,74******49,successful,89999.7,2025-07
45,220,Maria Walker,104,8000.0,Shoes,Clothing,offline,Bangalore,2025-11-23,4,Cash,0.15,Mar*****@gmail.com,73******10,successful,31999.85,2025-11
48,222,Emily Hernandez,108,15000.0,Mixer Grinder,Home Appliances,offline,Delhi,2025-07-11,1,Cash,0.25,Emi*****@gmail.com,89******56,successful,14999.75,2025-07
49,971,Larry Ramos,103,1300.0,Shirt,Cloth,offline,Chennai,2025-07-10,5,UPI,0.2,Lar*****@gmail.com,89******14,successful,6499.8,2025-07
50,670,Fernando Kelly,106,80000.0,Sofa,Furniture,offline,Chennai,2025-05-31,5,UPI,0.15,Fer*****@yahoo.com,89******11,successful,399999.85,2025-05
51,485,James Harris,107,50000.0,Dining Table,Furniture,online,Delhi,2025-07-12,2,Card,0.1,Jam*****@yahoo.com,84******57,successful,99999.9,2025-07
52,883,Charles David,104,8000.0,Shoes,Clothing,online,Delhi,2025-07-17,1,Card,0.4,Cha*****@yahoo.com,60******22,successful,7999.6,2025-07
53,202,Amanda Reed,103,1300.0,Shirt,Clothing,offline,Delhi,2025-11-03,1,Card,0.15,Ama*****@yahoo.com,65******99,successful,1299.85,2025-11
54,817,Nicole Ross,107,50000.0,Dining Table,Furniture,offline,Chennai,2025-07-25,3,Cash,0.25,Nic*****@gmail.com,82******66,successful,149999.75,2025-07
55,801,Brandi Bryan,104,8000.0,Shoes,Clothing,online,Delhi,2025-10-01,5,UPI,0.3,Bra*****@gmail.com,74******83,successful,39999.7,2025-10
56,284,Erin Richmond,104,8000.0,Shoes,Clothing,offline,Chennai,2026-02-20,2,NetBanking,0.4,Eri*****@gmail.com,92******78,successful,15999.6,2026-02
59,854,Dennis Dorsey,108,15000.0,Mixer Grinder,Home,online,Hyderabad,2025-07-13,3,NetBanking,0.15,Den*****@yahoo.com,70******16,successful,44999.85,2025-07
61,507,Thomas Cameron,104,8000.0,Shoes,Cloth,offline,Delhi,2025-12-23,2,Cash,0.3,Tho*****@outlook.com,92******64,successful,15999.7,2025-12
62,736,Lisa Lee,104,8000.0,Shoes,Clothing,offline,Delhi,2025-06-07,4,NetBanking,0.05,Lis*****@gmail.com,70******21,successful,31999.95,2025-06
64,341,Cory Alvarado,110,45000.0,Microwave,Home Appliances,online,Mumbai,2025-12-14,3,NetBanking,0.1,Cor*****@outlook.com,76******55,successful,134999.9,2025-12
66,164,Shawn Stewart,104,8000.0,Shoes,Cloth,offline,Chennai,2025-04-16,2,Card,0.3,Sha*****@gmail.com,71******54,successful,15999.7,2025-04
67,188,Allison Oliver,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2026-04-04,3,Cash,0.3,All*****@gmail.com,98******24,successful,194999.7,2026-04
69,656,Adam White,104,8000.0,Shoes,Clothing,online,Hyderabad,2025-08-29,1,NetBanking,0.1,Ada*****@yahoo.com,90******07,successful,7999.9,2025-08
70,687,Robert Estrada,110,45000.0,Microwave,Home,offline,Hyderabad,2026-04-05,1,UPI,0.1,Rob*****@yahoo.com,86******73,successful,44999.9,2026-04
71,186,Dawn Garrett,105,45000.0,Tv,Electronics,offline,Chennai,2026-01-23,2,Card,0.3,Daw*****@gmail.com,96******01,successful,89999.7,2026-01
72,865,Jessica Patterson,102,70000.0,Phone,Elec,online,Hyderabad,2026-04-07,1,UPI,0.2,Jes*****@outlook.com,93******60,successful,69999.8,2026-04
73,523,Emily Cohen,101,250000.0,Laptop,Electronics,offline,Chennai,2026-03-09,4,Card,0.1,Emi*****@gmail.com,91******27,successful,999999.9,2026-03
75,729,Elizabeth Hunt,108,15000.0,Mixer Grinder,Home Appliances,online,Mumbai,2025-08-10,1,NetBanking,0.1,Eli*****@outlook.com,89******21,successful,14999.9,2025-08
78,874,Samuel Patel,104,8000.0,Shoes,Clothing,offline,Mumbai,2025-06-11,4,Cash,0.1,Sam*****@gmail.com,68******67,successful,31999.9,2025-06
79,977,Gloria Navarro,102,70000.0,Phone,Electronics,offline,Chennai,2025-05-16,5,UPI,0.3,Glo*****@yahoo.com,72******62,successful,349999.7,2025-05
80,735,Elizabeth Kemp,108,15000.0,Mixer Grinder,Home Appliances,online,Bangalore,2025-06-20,5,Cash,0.05,Eli*****@yahoo.com,65******68,successful,74999.95,2025-06
81,704,Susan Thomas,107,50000.0,Dining Table,Furn,offline,Chennai,2026-04-14,5,UPI,0.25,Sus*****@outlook.com,60******32,successful,249999.75,2026-04
82,578,Kristi Wilson,101,250000.0,Laptop,Electronics,online,Chennai,2025-06-18,4,NetBanking,0.4,Kri*****@yahoo.com,60******23,successful,999999.6,2025-06
84,379,Andres Stokes,105,45000.0,Tv,Elec,offline,Mumbai,2025-11-07,5,UPI,0.2,And*****@yahoo.com,81******61,successful,224999.8,2025-11
86,427,Kelly Mccormick,103,1300.0,Shirt,Clothing,offline,Delhi,2026-01-09,4,NetBanking,0.05,Kel*****@outlook.com,60******70,successful,5199.95,2026-01
87,454,Larry Perkins,102,70000.0,Phone,Electronics,offline,Mumbai,2025-11-04,1,Cash,0.15,Lar*****@yahoo.com,79******36,successful,69999.85,2025-11
88,975,Jacqueline Doyle,110,45000.0,Microwave,Home Appliances,online,Hyderabad,2026-02-02,3,Card,0.2,Jac*****@outlook.com,81******90,successful,134999.8,2026-02
89,992,William Rose,107,50000.0,Dining Table,Furn,online,Hyderabad,2025-12-20,5,Cash,0.15,Wil*****@gmail.com,69******06,successful,249999.85,2025-12
91,645,Joshua Burton,102,70000.0,Phone,Electronics,offline,Mumbai,2026-01-05,1,Cash,0.4,Jos*****@outlook.com,67******88,successful,69999.6,2026-01
92,728,Lisa Miller,108,,Mixer Grinder,Home,offline,Chennai,2026-03-28,1,NetBanking,0.05,Lis*****@gmail.com,87******95,successful,,2026-03
93,403,Taylor Ellison,102,70000.0,Phone,Electronics,offline,Bangalore,2025-12-16,5,UPI,0.15,Tay*****@gmail.com,82******32,successful,349999.85,2025-12
94,50,Stacey Henderson,104,8000.0,Shoes,Cloth,online,Mumbai,2025-02-11,4,Cash,0.25,Sta*****@gmail.com,60******85,successful,31999.75,2025-02
99,753,Kelly Ball,102,70000.0,Phone,Electronics,online,Delhi,2025-10-07,3,Card,0.15,Kel*****@gmail.com,65******69,successful,209999.85,2025-10
100,864,Cameron Black,109,65000.0,Refrigerator,Home,online,Chennai,2025-04-20,1,UPI,0.15,Cam*****@yahoo.com,99******77,successful,64999.85,2025-04
102,1000,Shannon Haley,103,1300.0,Shirt,Clothing,online,Bangalore,2025-05-30,3,NetBanking,0.15,Sha*****@gmail.com,76******01,successful,3899.85,2025-05
103,909,Jacqueline Frye,105,45000.0,Tv,Elec,online,Chennai,2025-09-05,3,Cash,0.35,Jac*****@gmail.com,60******95,successful,134999.65,2025-09
105,713,Jason Griffin,107,50000.0,Dining Table,Furniture,online,Hyderabad,2026-02-26,1,NetBanking,0.05,Jas*****@gmail.com,89******07,successful,49999.95,2026-02
106,54,Jessica Hernandez,105,,Tv,Electronics,offline,Hyderabad,2026-02-27,2,Card,0.05,Jes*****@outlook.com,71******54,successful,,2026-02
107,89,Joseph Davis,106,80000.0,Sofa,Furniture,offline,Hyderabad,2025-03-09,4,UPI,0.35,Jos*****@yahoo.com,73******48,successful,319999.65,2025-03
109,128,Ethan Porter,104,8000.0,Shoes,Clothing,online,Bangalore,2026-02-03,3,Card,0.2,Eth*****@yahoo.com,69******64,successful,23999.8,2026-02
110,264,Kelli Johnson,107,50000.0,Dining Table,Furniture,offline,Bangalore,2025-08-25,2,Cash,0.2,Kel*****@gmail.com,98******31,successful,99999.8,2025-08
111,637,Kevin King,106,80000.0,Sofa,Furniture,online,Bangalore,2026-02-18,5,Cash,0.1,Kev*****@yahoo.com,89******30,successful,399999.9,2026-02
112,381,Melissa Garza,102,70000.0,Phone,Electronics,offline,Hyderabad,2025-09-14,1,Cash,0.15,Mel*****@gmail.com,69******06,successful,69999.85,2025-09
113,286,Carmen Sanders,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2026-01-12,4,NetBanking,0.4,Car*****@gmail.com,88******19,successful,59999.6,2026-01
